input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_188.c	oracle	124	15.04	15.04	650648	CERB_SKIP
sa_csmith_188.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_189.c	oracle	0	0.04	0.04	49352	MATCH
sa_csmith_189.c	lean	0	0.08	0.08	86940	MATCH
sa_csmith_19.c	oracle	0	0.09	0.08	64412	MATCH
sa_csmith_19.c	lean	0	0.19	0.18	118604	MATCH
sa_csmith_190.c	oracle	124	15.04	15.04	653968	CERB_SKIP
sa_csmith_190.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_191.c	oracle	0	0.04	0.04	48512	MATCH
sa_csmith_191.c	lean	0	0.07	0.06	87816	MATCH
sa_csmith_192.c	oracle	0	0.05	0.04	49464	MATCH
sa_csmith_192.c	lean	0	0.08	0.07	89272	MATCH
sa_csmith_193.c	oracle	0	0.04	0.03	49384	MATCH
sa_csmith_193.c	lean	0	0.07	0.06	87760	MATCH
sa_csmith_194.c	oracle	124	15.04	15.04	669344	CERB_SKIP
sa_csmith_194.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_195.c	oracle	0	0.09	0.09	62296	MATCH
sa_csmith_195.c	lean	0	0.20	0.19	114428	MATCH
sa_csmith_196.c	oracle	0	0.04	0.04	48988	MATCH
sa_csmith_196.c	lean	0	0.07	0.06	87624	MATCH
sa_csmith_197.c	oracle	0	5.98	5.97	296608	TIMEOUT
sa_csmith_197.c	lean	124	15.00	14.99	295180	TIMEOUT
sa_csmith_198.c	oracle	0	0.04	0.04	48656	MATCH
sa_csmith_198.c	lean	0	0.07	0.06	87312	MATCH
sa_csmith_199.c	oracle	124	15.04	15.02	577164	CERB_SKIP
sa_csmith_199.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_20.c	oracle	124	15.04	15.04	663484	CERB_SKIP
sa_csmith_20.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_200.c	oracle	124	15.05	15.04	650716	CERB_SKIP
sa_csmith_200.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_201.c	oracle	0	0.04	0.03	49188	MATCH
sa_csmith_201.c	lean	0	0.07	0.07	87576	MATCH
sa_csmith_202.c	oracle	124	15.05	15.04	680080	CERB_SKIP
sa_csmith_202.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_203.c	oracle	124	15.03	15.02	486856	CERB_SKIP
sa_csmith_203.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_204.c	oracle	124	15.04	15.03	666844	CERB_SKIP
sa_csmith_204.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_205.c	oracle	124	15.04	15.03	658948	CERB_SKIP
sa_csmith_205.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_206.c	oracle	124	15.04	15.03	647944	CERB_SKIP
sa_csmith_206.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_207.c	oracle	0	0.04	0.04	49596	MATCH
sa_csmith_207.c	lean	0	0.09	0.08	90244	MATCH
sa_csmith_208.c	oracle	124	15.04	15.03	604724	CERB_SKIP
sa_csmith_208.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_209.c	oracle	0	0.04	0.04	49848	MATCH
sa_csmith_209.c	lean	0	0.08	0.07	88008	MATCH
sa_csmith_21.c	oracle	0	0.04	0.03	48828	MATCH
sa_csmith_21.c	lean	0	0.07	0.06	85476	MATCH
sa_csmith_210.c	oracle	124	15.04	15.04	650120	CERB_SKIP
sa_csmith_210.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_211.c	oracle	124	15.05	15.04	676896	CERB_SKIP
sa_csmith_211.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_212.c	oracle	0	0.04	0.04	49476	MATCH
sa_csmith_212.c	lean	0	0.07	0.06	87780	MATCH
sa_csmith_213.c	oracle	0	0.05	0.04	49800	MATCH
sa_csmith_213.c	lean	0	0.09	0.08	89716	MATCH
sa_csmith_214.c	oracle	124	15.04	15.04	638428	CERB_SKIP
sa_csmith_214.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_215.c	oracle	0	0.04	0.04	48904	MATCH
sa_csmith_215.c	lean	0	0.07	0.06	87800	MATCH
sa_csmith_216.c	oracle	124	15.04	15.03	639428	CERB_SKIP
sa_csmith_216.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_217.c	oracle	124	15.04	15.04	688608	CERB_SKIP
sa_csmith_217.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_218.c	oracle	0	0.15	0.15	75424	MATCH
sa_csmith_218.c	lean	0	0.37	0.37	134704	MATCH
sa_csmith_219.c	oracle	124	15.04	15.03	656320	CERB_SKIP
sa_csmith_219.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_22.c	oracle	0	0.07	0.07	60700	MATCH
sa_csmith_22.c	lean	0	0.15	0.14	110252	MATCH
sa_csmith_220.c	oracle	124	15.03	15.02	387564	CERB_SKIP
sa_csmith_220.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_221.c	oracle	0	0.04	0.03	48588	MATCH
sa_csmith_221.c	lean	0	0.06	0.06	87344	MATCH
sa_csmith_222.c	oracle	124	15.04	15.04	632856	CERB_SKIP
sa_csmith_222.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_223.c	oracle	0	0.08	0.07	60796	MATCH
sa_csmith_223.c	lean	0	0.17	0.16	109868	MATCH
sa_csmith_224.c	oracle	124	15.04	15.04	610584	CERB_SKIP
sa_csmith_224.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_225.c	oracle	0	0.04	0.04	48548	MATCH
sa_csmith_225.c	lean	0	0.07	0.06	87368	MATCH
sa_csmith_226.c	oracle	124	15.03	15.02	416816	CERB_SKIP
sa_csmith_226.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_227.c	oracle	124	15.04	15.03	580444	CERB_SKIP
sa_csmith_227.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_228.c	oracle	0	0.04	0.04	48388	MATCH
sa_csmith_228.c	lean	0	0.07	0.07	88020	MATCH
sa_csmith_229.c	oracle	124	15.04	15.04	573052	CERB_SKIP
sa_csmith_229.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_23.c	oracle	0	0.04	0.03	49068	MATCH
sa_csmith_23.c	lean	0	0.07	0.06	87560	MATCH
sa_csmith_230.c	oracle	0	0.04	0.04	48692	MATCH
sa_csmith_230.c	lean	0	0.07	0.07	87184	MATCH
sa_csmith_231.c	oracle	124	15.02	15.01	295064	CERB_SKIP
sa_csmith_231.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_232.c	oracle	124	15.05	15.03	668084	CERB_SKIP
