input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_192.c	oracle	0	0.05	0.04	49428	MATCH
sa_csmith_192.c	lean	0	0.08	0.07	85016	MATCH
sa_csmith_193.c	oracle	0	0.05	0.04	47528	MATCH
sa_csmith_193.c	lean	0	0.07	0.06	83292	MATCH
sa_csmith_194.c	oracle	124	15.04	14.99	568348	CERB_SKIP
sa_csmith_194.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_195.c	oracle	0	0.10	0.09	61772	MATCH
sa_csmith_195.c	lean	0	0.21	0.20	103080	MATCH
sa_csmith_196.c	oracle	0	0.04	0.04	49476	MATCH
sa_csmith_196.c	lean	0	0.07	0.06	84520	MATCH
sa_csmith_197.c	oracle	0	6.43	6.42	295528	TIMEOUT
sa_csmith_197.c	lean	124	15.00	15.00	259396	TIMEOUT
sa_csmith_198.c	oracle	0	0.04	0.03	48992	MATCH
sa_csmith_198.c	lean	0	0.06	0.06	83528	MATCH
sa_csmith_199.c	oracle	124	15.04	15.03	598028	CERB_SKIP
sa_csmith_199.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_20.c	oracle	124	15.05	15.04	655320	CERB_SKIP
sa_csmith_20.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_200.c	oracle	124	15.05	15.04	619744	CERB_SKIP
sa_csmith_200.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_201.c	oracle	0	0.04	0.03	48576	MATCH
sa_csmith_201.c	lean	0	0.06	0.06	84692	MATCH
sa_csmith_202.c	oracle	124	15.05	15.04	648100	CERB_SKIP
sa_csmith_202.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_203.c	oracle	124	15.03	15.03	470216	CERB_SKIP
sa_csmith_203.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_204.c	oracle	124	15.05	15.01	597192	CERB_SKIP
sa_csmith_204.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_205.c	oracle	124	15.05	15.04	606192	CERB_SKIP
sa_csmith_205.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_206.c	oracle	124	15.05	15.03	601032	CERB_SKIP
sa_csmith_206.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_207.c	oracle	0	0.05	0.05	48836	MATCH
sa_csmith_207.c	lean	0	0.09	0.08	85692	MATCH
sa_csmith_208.c	oracle	124	15.04	15.03	562000	CERB_SKIP
sa_csmith_208.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_209.c	oracle	0	0.04	0.04	48380	MATCH
sa_csmith_209.c	lean	0	0.07	0.07	86520	MATCH
sa_csmith_21.c	oracle	0	0.05	0.04	48344	MATCH
sa_csmith_21.c	lean	0	0.07	0.06	83356	MATCH
sa_csmith_210.c	oracle	124	15.05	15.04	642688	CERB_SKIP
sa_csmith_210.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_211.c	oracle	124	15.05	15.04	649228	CERB_SKIP
sa_csmith_211.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_212.c	oracle	0	0.04	0.04	48048	MATCH
sa_csmith_212.c	lean	0	0.07	0.06	83452	MATCH
sa_csmith_213.c	oracle	0	0.05	0.04	49056	MATCH
sa_csmith_213.c	lean	0	0.08	0.08	85296	MATCH
sa_csmith_214.c	oracle	124	15.05	15.04	609296	CERB_SKIP
sa_csmith_214.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_215.c	oracle	0	0.04	0.04	48132	MATCH
sa_csmith_215.c	lean	0	0.07	0.06	83016	MATCH
sa_csmith_216.c	oracle	124	15.05	15.04	617452	CERB_SKIP
sa_csmith_216.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_217.c	oracle	124	15.05	15.04	650240	CERB_SKIP
sa_csmith_217.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_218.c	oracle	0	0.16	0.16	74128	MATCH
sa_csmith_218.c	lean	0	0.41	0.41	117616	MATCH
sa_csmith_219.c	oracle	124	15.06	15.05	595040	CERB_SKIP
sa_csmith_219.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_22.c	oracle	0	0.09	0.08	60336	MATCH
sa_csmith_22.c	lean	0	0.25	0.25	101084	MATCH
sa_csmith_220.c	oracle	124	15.04	15.02	330692	CERB_SKIP
sa_csmith_220.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_221.c	oracle	0	0.07	0.06	48136	MATCH
sa_csmith_221.c	lean	0	0.10	0.09	83452	MATCH
sa_csmith_222.c	oracle	124	15.04	15.02	456008	CERB_SKIP
sa_csmith_222.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_223.c	oracle	0	0.11	0.10	60012	MATCH
sa_csmith_223.c	lean	0	0.18	0.18	101396	MATCH
