input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_438.c	oracle	124	15.05	15.04	641752	CERB_SKIP
sa_csmith_438.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_439.c	oracle	0	0.10	0.10	60620	MATCH
sa_csmith_439.c	lean	0	0.22	0.21	101520	MATCH
sa_csmith_44.c	oracle	0	0.06	0.05	52008	MATCH
sa_csmith_44.c	lean	0	0.10	0.09	86220	MATCH
sa_csmith_440.c	oracle	0	0.05	0.04	48092	MATCH
sa_csmith_440.c	lean	0	0.07	0.06	82036	MATCH
sa_csmith_441.c	oracle	0	0.04	0.04	48240	MATCH
sa_csmith_441.c	lean	0	0.06	0.05	82304	MATCH
sa_csmith_442.c	oracle	124	15.05	15.04	659632	CERB_SKIP
sa_csmith_442.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_443.c	oracle	124	15.04	15.04	615140	CERB_SKIP
sa_csmith_443.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_444.c	oracle	0	0.04	0.04	48520	MATCH
sa_csmith_444.c	lean	0	0.07	0.07	82192	MATCH
sa_csmith_445.c	oracle	124	15.05	15.04	647856	CERB_SKIP
sa_csmith_445.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_446.c	oracle	124	15.04	15.04	639136	CERB_SKIP
sa_csmith_446.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_447.c	oracle	0	0.04	0.03	49076	MATCH
sa_csmith_447.c	lean	0	0.06	0.06	82300	MATCH
sa_csmith_448.c	oracle	124	15.05	15.04	650496	CERB_SKIP
sa_csmith_448.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_449.c	oracle	124	15.04	15.04	638204	CERB_SKIP
sa_csmith_449.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_45.c	oracle	0	0.04	0.04	48464	MATCH
sa_csmith_45.c	lean	0	0.06	0.06	81904	MATCH
sa_csmith_450.c	oracle	0	0.10	0.10	68748	MATCH
sa_csmith_450.c	lean	0	0.23	0.22	112712	MATCH
sa_csmith_451.c	oracle	0	0.04	0.04	48612	MATCH
sa_csmith_451.c	lean	0	0.06	0.06	82076	MATCH
sa_csmith_452.c	oracle	0	0.10	0.09	67768	MATCH
sa_csmith_452.c	lean	0	0.20	0.20	111164	MATCH
sa_csmith_453.c	oracle	124	15.04	15.04	616032	CERB_SKIP
sa_csmith_453.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_454.c	oracle	124	15.05	15.04	689128	CERB_SKIP
