input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_51.c	lean	0	0.08	0.07	82056	MATCH
sa_csmith_52.c	oracle	0	0.10	0.09	69292	MATCH
sa_csmith_52.c	lean	0	0.25	0.25	112872	MATCH
sa_csmith_53.c	oracle	124	15.04	15.03	496908	CERB_SKIP
sa_csmith_53.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_54.c	oracle	124	15.05	15.05	648676	CERB_SKIP
sa_csmith_54.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_55.c	oracle	124	15.05	15.04	621332	CERB_SKIP
sa_csmith_55.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_56.c	oracle	0	0.04	0.04	48392	MATCH
sa_csmith_56.c	lean	0	0.07	0.06	82068	MATCH
sa_csmith_57.c	oracle	124	15.05	15.04	673416	CERB_SKIP
sa_csmith_57.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_58.c	oracle	124	15.05	15.04	626624	CERB_SKIP
sa_csmith_58.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_59.c	oracle	124	15.01	15.01	246424	CERB_SKIP
sa_csmith_59.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_60.c	oracle	0	0.04	0.03	48220	MATCH
sa_csmith_60.c	lean	0	0.07	0.06	81196	MATCH
sa_csmith_61.c	oracle	0	0.10	0.10	67504	MATCH
sa_csmith_61.c	lean	0	0.23	0.22	109416	MATCH
sa_csmith_62.c	oracle	124	15.05	15.04	684700	CERB_SKIP
sa_csmith_62.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_63.c	oracle	0	0.18	0.17	67968	MATCH
sa_csmith_63.c	lean	0	0.43	0.42	105708	MATCH
sa_csmith_64.c	oracle	0	0.09	0.09	62200	MATCH
sa_csmith_64.c	lean	0	0.18	0.17	101464	MATCH
sa_csmith_65.c	oracle	124	15.04	15.03	588056	CERB_SKIP
sa_csmith_65.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_66.c	oracle	0	0.10	0.10	64368	MATCH
sa_csmith_66.c	lean	0	0.22	0.21	103132	MATCH
sa_csmith_67.c	oracle	0	0.04	0.04	48452	MATCH
sa_csmith_67.c	lean	0	0.06	0.06	81624	MATCH
sa_csmith_68.c	oracle	0	0.04	0.04	48980	MATCH
sa_csmith_68.c	lean	0	0.06	0.06	82152	MATCH
sa_csmith_69.c	oracle	124	15.04	15.04	616972	CERB_SKIP
sa_csmith_69.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_7.c	oracle	0	0.04	0.04	48644	MATCH
sa_csmith_7.c	lean	0	0.06	0.06	80596	MATCH
sa_csmith_70.c	oracle	124	15.02	15.01	299432	CERB_SKIP
sa_csmith_70.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_71.c	oracle	124	15.05	15.04	642928	CERB_SKIP
