input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_204.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_205.c	oracle	124	15.05	15.04	664068	CERB_SKIP
sa_csmith_205.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_206.c	oracle	124	15.05	15.04	643480	CERB_SKIP
sa_csmith_206.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_207.c	oracle	0	0.05	0.04	50880	MATCH
sa_csmith_207.c	lean	0	0.07	0.07	85848	MATCH
sa_csmith_208.c	oracle	124	15.04	15.03	595356	CERB_SKIP
sa_csmith_208.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_209.c	oracle	0	0.04	0.04	49840	MATCH
sa_csmith_209.c	lean	0	0.06	0.06	85792	MATCH
sa_csmith_21.c	oracle	0	0.04	0.03	49600	MATCH
sa_csmith_21.c	lean	0	0.07	0.06	84000	MATCH
sa_csmith_210.c	oracle	124	15.04	15.04	618704	CERB_SKIP
sa_csmith_210.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_211.c	oracle	124	15.05	15.05	658928	CERB_SKIP
sa_csmith_211.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_212.c	oracle	0	0.04	0.04	50204	MATCH
sa_csmith_212.c	lean	0	0.06	0.06	83744	MATCH
sa_csmith_213.c	oracle	0	0.05	0.04	50476	MATCH
sa_csmith_213.c	lean	0	0.08	0.07	85944	MATCH
sa_csmith_214.c	oracle	124	15.04	15.03	640196	CERB_SKIP
sa_csmith_214.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_215.c	oracle	0	0.04	0.04	49680	MATCH
sa_csmith_215.c	lean	0	0.06	0.06	82944	MATCH
sa_csmith_216.c	oracle	124	15.05	15.04	639856	CERB_SKIP
sa_csmith_216.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_217.c	oracle	124	15.05	15.04	676488	CERB_SKIP
sa_csmith_217.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_218.c	oracle	0	0.15	0.15	75668	MATCH
sa_csmith_218.c	lean	0	0.36	0.36	119932	MATCH
sa_csmith_219.c	oracle	124	15.05	15.05	661648	CERB_SKIP
sa_csmith_219.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_22.c	oracle	0	0.07	0.07	61260	MATCH
sa_csmith_22.c	lean	0	0.14	0.13	102596	MATCH
sa_csmith_220.c	oracle	124	15.03	15.02	384644	CERB_SKIP
sa_csmith_220.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_221.c	oracle	0	0.04	0.03	49852	MATCH
sa_csmith_221.c	lean	0	0.06	0.06	83216	MATCH
sa_csmith_222.c	oracle	124	15.05	15.04	647964	CERB_SKIP
sa_csmith_222.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_223.c	oracle	0	0.08	0.08	61156	MATCH
sa_csmith_223.c	lean	0	0.15	0.14	102536	MATCH
sa_csmith_224.c	oracle	124	15.04	15.03	610660	CERB_SKIP
sa_csmith_224.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_225.c	oracle	0	0.04	0.03	48980	MATCH
sa_csmith_225.c	lean	0	0.06	0.06	84520	MATCH
sa_csmith_226.c	oracle	124	15.03	15.02	419948	CERB_SKIP
sa_csmith_226.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_227.c	oracle	124	15.04	15.03	576484	CERB_SKIP
sa_csmith_227.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_228.c	oracle	0	0.04	0.04	48664	MATCH
sa_csmith_228.c	lean	0	0.06	0.06	83984	MATCH
sa_csmith_229.c	oracle	124	15.04	15.03	570684	CERB_SKIP
sa_csmith_229.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_23.c	oracle	0	0.04	0.03	49760	MATCH
sa_csmith_23.c	lean	0	0.06	0.06	83972	MATCH
sa_csmith_230.c	oracle	0	0.04	0.03	50256	MATCH
sa_csmith_230.c	lean	0	0.07	0.06	83860	MATCH
sa_csmith_231.c	oracle	124	15.02	15.01	298572	CERB_SKIP
sa_csmith_231.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_232.c	oracle	124	15.05	15.05	663668	CERB_SKIP
sa_csmith_232.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_233.c	oracle	124	15.04	15.04	638636	CERB_SKIP
sa_csmith_233.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_234.c	oracle	0	0.08	0.08	62960	MATCH
sa_csmith_234.c	lean	0	0.18	0.17	104636	MATCH
sa_csmith_235.c	oracle	124	15.05	15.05	685368	CERB_SKIP
sa_csmith_235.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_236.c	oracle	124	15.04	15.04	653076	CERB_SKIP
sa_csmith_236.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_237.c	oracle	124	15.04	15.04	621608	CERB_SKIP
sa_csmith_237.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_238.c	oracle	124	15.05	15.04	665756	CERB_SKIP
sa_csmith_238.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_239.c	oracle	0	0.14	0.13	68364	MATCH
sa_csmith_239.c	lean	0	0.31	0.31	108820	MATCH
sa_csmith_24.c	oracle	124	15.04	15.02	522144	CERB_SKIP
sa_csmith_24.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_240.c	oracle	0	0.04	0.03	49596	MATCH
sa_csmith_240.c	lean	0	0.06	0.05	82296	MATCH
sa_csmith_241.c	oracle	0	0.04	0.03	50152	MATCH
sa_csmith_241.c	lean	0	0.06	0.05	83496	MATCH
sa_csmith_242.c	oracle	0	0.08	0.07	66680	MATCH
sa_csmith_242.c	lean	0	0.19	0.18	108548	MATCH
sa_csmith_243.c	oracle	0	0.04	0.04	50204	MATCH
sa_csmith_243.c	lean	0	0.06	0.06	83512	MATCH
sa_csmith_244.c	oracle	124	15.05	15.04	648452	CERB_SKIP
sa_csmith_244.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_245.c	oracle	0	0.04	0.04	50448	MATCH
sa_csmith_245.c	lean	0	0.06	0.06	82216	MATCH
sa_csmith_246.c	oracle	124	15.04	15.03	619368	CERB_SKIP
sa_csmith_246.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_247.c	oracle	0	0.12	0.11	74032	MATCH
sa_csmith_247.c	lean	0	0.25	0.24	118648	MATCH
sa_csmith_248.c	oracle	124	15.04	15.04	601104	CERB_SKIP
sa_csmith_248.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_249.c	oracle	0	0.09	0.09	68224	MATCH
sa_csmith_249.c	lean	0	0.20	0.19	112244	MATCH
